iter	Passed	Remaining
880	13326	1800
881	13356	1786
882	13382	1773
883	13403	1758
884	13418	1743
885	13437	1728
886	13449	1713
887	13460	1697
888	13473	1682
889	13486	1666
890	13499	1651
891	13510	1635
892	13524	1620
893	13537	1605
894	13551	1589
895	13563	1574
896	13575	1558
897	13588	1543
898	13607	1528
899	13620	1513
900	13633	1497
901	13645	1482
902	13656	1467
903	13669	1451
904	13682	1436
905	13694	1420
906	13707	1405
907	13720	1390
908	13734	1374
909	13747	1359
910	13759	1344
911	13771	1328
912	13783	1313
913	13797	1298
914	13809	1282
915	13822	1267
916	13834	1252
917	13848	1236
918	13860	1221
919	13871	1206
920	13883	1190
921	13896	1175
922	13909	1160
923	13921	1145
924	13935	1129
925	13950	1114
926	13963	1099
927	13975	1084
928	13988	1069
929	13999	1053
930	14018	1038
931	14031	1023
932	14045	1008
933	14059	993
934	14071	978
935	14083	963
936	14095	947
937	14108	932
938	14121	917
939	14134	902
940	14147	887
941	14162	871
942	14174	856
943	14188	841
944	14201	826
945	14212	811
946	14224	796
947	14239	781
948	14257	766
949	14271	751
950	14284	735
951	14297	720
952	14308	705
953	14321	690
954	14337	675
955	14353	660
956	14366	645
957	14380	630
958	14392	615
959	14404	600
960	14419	585
961	14434	570
962	14446	555
963	14460	540
964	14474	524
965	14486	509
966	14499	494
967	14512	479
968	14525	464
969	14540	449
970	14551	434
971	14566	419
972	14580	404
973	14593	389
974	14605	374
975	14616	359
976	14630	344
977	14642	329
978	14654	314
979	14668	299
980	14681	284
981	14695	269
982	14708	254
983	14720	239
984	14732	224
985	14745	209
986	14758	194
987	14771	179
988	14784	164
989	14796	149
990	14809	134
991	14825	119
992	14839	104
993	14852	89
994	14864	74
995	14878	59
996	14892	44
997	14905	29
998	14919	14
999	14932	0
